DataSeries,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1995,1990,1980
Resident Households,1425100,1399600,1390600,1372600,1372400,1325300,1289900,1263600,1225300,1200000,1174500,1152000,1146200,1145900,1119600,1093100,1074800,1054100,1024500,1003800,989000,964600,934400,915100,768400,661700,472700
    Owner-Occupied,1277800,1249700,1236900,1206000,1240600,1205800,1170200,1149100,1112400,1083400,1062500,1038200,1015900,998900,994500,985000,966900,952100,933700,929000,912400,898100,869600,841600,691700,578900,278100
    Rented,132000,131700,134800,152100,122500,112400,109800,107600,106200,109800,105700,106800,103500,132500,111800,93300,94500,90500,80600,61800,67000,58800,58100,63400,71300,78600,181200
Proportion Of Owner-Occupied Resident Households,89.7,89.3,88.9,87.9,90.4,91,90.7,90.9,90.8,90.3,90.5,90.1,88.6,87.2,88.8,90.1,90,90.3,91.1,92.5,92.3,93.1,93.1,92,90,87.5,58.8
    Total HDB Dwellings,91.3,90.9,90.9,89.2,91.9,92.2,92.1,92.2,92,91.6,91.8,91.7,90.1,88.8,90.4,91.7,91.9,92.2,93,94.2,93.4,94.1,94,93.1,90.6,89.8,61.5
        HDB 1- And 2-Room Flats,43,40.6,39.9,37.8,39.1,39.8,36.7,35.9,33.9,23.9,22.3,23.1,18.1,18.4,17.7,19.4,20.6,19.6,23.8,34.4,25.2,25.5,20.8,19.3,17.5,26.8,5.2
        HDB 3-Room Flats,94.5,93.8,93.5,92.7,94.5,95.3,94.4,94.2,94.8,94.4,94.1,93.3,91.2,90,91.2,92.4,92.9,93.7,94.4,95.9,95,96.3,96.8,96.1,96,95.2,84.8
        HDB 4-Room Flats,96.6,95.9,96.1,94,97.2,97.1,97.3,97.5,96.8,96.8,97,96.6,94.9,93.6,95.3,95.9,96.4,97.2,97.3,97.7,97.8,98.2,98.2,98,98.1,97.6,96.2
        HDB 5-Room And Executive Flats,96.6,96.8,96.6,94.5,97.1,97.1,97.3,97.4,97.2,97.4,97.2,97,96.2,94.4,96.1,97,96.8,97.4,97.9,98.2,98.5,98.5,98.7,98.5,98.2,97.8,98.8
    Condominiums & Other Apartments,82.8,81.9,80.3,81.6,83.1,84.9,83.6,84.1,84.1,83.3,82.5,80.3,79,76.6,77.2,79.6,77.1,77.1,77.2,80.8,80.9,82.6,82.6,80.8,83.3,78,49.2
    Landed Properties,90.1,90.7,89.7,89.2,91.5,92.8,92,92.8,92,90.9,91.2,89.5,88.7,88.7,90.2,89.3,88.9,90.1,89.8,91.1,92.2,92.8,95,89.8,92.3,87.6,75.4
    Other Types Of Dwelling,45.7,59.7,44.8,43.4,31.6,58.4,57.1,51.5,54.9,47.1,47.7,65.1,44.2,46.8,51.7,45.8,62.4,62.4,57.1,65.2,81.7,74.1,64,56.1,50.1,41.3,44.5
