quarter,industry1,industry2,industry3,retrench,retrench_permanent,retrench_term_contract
1998-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",40,40,-
1998-Q1,manufacturing,textile and wearing apparel,textile and wearing apparel,130,130,-
1998-Q1,manufacturing,paper products and publishing,paper products and publishing,130,130,-
1998-Q1,manufacturing,petroleum and chemical products,petroleum and chemical products,200,190,10
1998-Q1,manufacturing,rubber and plastic products,rubber and plastic products,290,290,-
1998-Q1,manufacturing,fabricated metal products,fabricated metal products,130,130,-
1998-Q1,manufacturing,machinery and equipment,machinery and equipment,250,180,70
1998-Q1,manufacturing,electrical products,electrical products,470,460,-
1998-Q1,manufacturing,electronic products,electronic products,4120,3190,930
1998-Q1,manufacturing,medical and precision instruments,medical and precision instruments,10,10,-
1998-Q1,manufacturing,transport equipment,transport equipment,50,40,10
1998-Q1,manufacturing,other manufacturing industries,other manufacturing industries,370,320,50
1998-Q1,construction,construction,construction,560,90,480
1998-Q1,services,wholesale and retail trade,wholesale trade,660,580,80
1998-Q1,services,wholesale and retail trade,retail trade,210,160,60
1998-Q1,services,hotels and restaurants,hotels,220,220,-
1998-Q1,services,hotels and restaurants,restaurants,50,50,-
1998-Q1,services,"transport, storage and communications","transport, storage and communications",270,270,-
1998-Q1,services,financial intermediation,financial institutions,230,230,-
1998-Q1,services,financial intermediation,insurance and pension funding,-,-,-
1998-Q1,services,real estate and business,real estate and business,350,330,20
1998-Q1,services,community,community,110,100,10
1998-Q1,others,others,others,-,-,-
1998-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-,-,-
1998-Q2,manufacturing,textile and wearing apparel,textile and wearing apparel,20,20,-
1998-Q2,manufacturing,paper products and publishing,paper products and publishing,40,40,-
1998-Q2,manufacturing,petroleum and chemical products,petroleum and chemical products,110,110,-
1998-Q2,manufacturing,rubber and plastic products,rubber and plastic products,160,160,-
1998-Q2,manufacturing,fabricated metal products,fabricated metal products,460,460,10
1998-Q2,manufacturing,machinery and equipment,machinery and equipment,430,400,30
1998-Q2,manufacturing,electrical products,electrical products,280,280,-
1998-Q2,manufacturing,electronic products,electronic products,2160,2080,70
1998-Q2,manufacturing,medical and precision instruments,medical and precision instruments,130,130,-
1998-Q2,manufacturing,transport equipment,transport equipment,70,60,10
1998-Q2,manufacturing,other manufacturing industries,other manufacturing industries,1150,1150,-
1998-Q2,construction,construction,construction,600,430,170
1998-Q2,services,wholesale and retail trade,wholesale trade,590,490,100
1998-Q2,services,wholesale and retail trade,retail trade,100,90,-
1998-Q2,services,hotels and restaurants,hotels,350,350,-
1998-Q2,services,hotels and restaurants,restaurants,200,200,-
1998-Q2,services,"transport, storage and communications","transport, storage and communications",180,170,-
1998-Q2,services,financial intermediation,financial institutions,310,290,20
1998-Q2,services,financial intermediation,insurance and pension funding,-,-,-
1998-Q2,services,real estate and business,real estate and business,390,370,20
1998-Q2,services,community,community,20,20,10
1998-Q2,others,others,others,-,-,-
